IDind,daily_calories_2000,daily_calories_2011,height_cm_2000,height_cm_2011,age_2000,age_2011
212403005061,1371.4150676666668,1637.316869666667,99.6,158.1,3.0,14.0
212403013063,1565.1412513333335,2561.243749,126.0,167.5,9.0,20.0
212404004004,1207.9581726666665,2464.417075809524,141.5,175.1,11.0,22.0
212404005004,1965.1511763333335,2129.710088,167.0,168.5,17.0,28.0
212404006003,1460.0430669999998,2747.226381,166.5,171.5,14.0,25.0
212404010003,1728.1867006666669,2214.540358333333,151.0,182.5,12.0,23.0
212404013004,1040.524206,1496.1830543333333,150.0,156.1,12.0,23.0
212404014004,1261.7919366666667,2294.9131276666667,147.0,170.5,12.0,23.0
231101015003,1189.4027144444447,2091.676205,151.2,180.0,11.0,22.0
231101017003,1609.882221,2571.2557584126985,157.9,161.3,17.0,28.0
231102065003,1496.9727002222223,1743.4677156666667,85.0,160.0,2.0,13.0
231103002003,993.2344410416665,1890.958688,104.0,162.1,4.0,15.0
231103009004,1469.1096023333332,911.301042,152.0,163.2,12.0,23.0
231103009005,692.487015,899.7058840000001,101.5,167.3,4.0,15.0
231103011004,1131.4925750833333,1061.1577635555557,143.2,165.7,10.0,21.0
231103011005,791.0082739999999,1226.4341696666668,97.1,163.4,3.0,14.0
231103012004,1924.1907906666668,1260.770904,144.6,183.5,10.0,21.0
231103016004,1387.5876375964915,1600.8832622222224,142.2,167.9,11.0,22.0
231103019061,627.896342,741.9499706666666,,163.1,1.0,12.0
231104001003,1746.7100128333332,2654.4612493333334,173.0,175.0,15.0,26.0
231104004003,2080.636883333333,1700.0069336666666,152.0,157.3,15.0,26.0
231104004004,2004.866266666667,1514.6785616666668,119.0,158.1,7.0,18.0
231104005005,1715.3222883333335,2105.6967022154017,119.0,175.0,5.0,16.0
231104006003,1518.3877263333331,2040.3841966666666,114.0,172.0,5.0,16.0
231104017005,1381.641113,1651.6258966666664,103.0,164.0,3.0,14.0
231203017004,2117.9333540000002,1783.5210286666668,167.0,177.6,13.0,24.0
231203062003,1155.175,1353.6978041666666,129.0,162.0,9.0,20.0
231204016003,1123.558838,700.0932337142858,121.9,156.0,8.0,19.0
232102005003,1433.9759643333334,1398.345501,146.8,170.1,12.0,23.0
232102020003,1177.9893973333335,1373.064448,153.0,178.8,12.0,23.0
232103004004,1499.1184269999999,2956.328548,108.7,172.8,4.0,15.0
232104064003,1456.8555555555558,1646.7377546666667,133.8,155.6,8.0,19.0
232202004003,1228.2568860000001,1739.254505238095,112.4,170.6,6.0,16.0
